Lana Del Rey,Pride,"You have this way of making me say the opposite of everything I mean  
I kiss you, I hug you, but I could not feel less connected from you!  
I know I want it all this, in the beginning I really tried  
I know I could... not so happy time of your life.  
My dreams are bigger than all your junky pride  
I don't quit fit the part of... everything and falls into insanity.  
The sun beams, mean nothing if you can't find the light shining in one thing  
I know I want it all this, in the beginning I really tried  
I know I got you, and I'm not so happy... time of your life  
My dreams are bigger than your junky pride.  
It's fine if you're hateful, as long as you remain grateful  
It made me nervous... like me I really tried  
The way I'm feeling in this moment it can't last my whole life!  
My dreams are bigger than your junky pride! aa

"
Lana Del Rey,Put The Radio On,"Put the radio on,  
Put the radio on, (hello)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong.  
  
Sugar and spice,  
Everything nice,  
Keep me on lockdown,  
Put me on ice.  
  
Cause I'm a really good girl,  
You a very bad guy,  
We're a little match made in Heaven if I say so, Yay-o  
Come over here boy and play-o.  
  
Work it out,  
Work it right,  
Baby's locking low tonight,  
Work it out,  
Keep it tight,  
You're so rock and roll,  
Sold your soul,  
Now baby...  
  
Put the radio on,  
Put the radio on, (Yes, yes)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong.  
  
Put the radio on, (and take a breath)  
Put the radio on, ( come over here)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong for you.  
  
Peaches and cream,  
Everyone's dream,  
You think you like me now,  
You should hear me sing,  
  
Cause baby,  
I'm a fly girl and you're a big shot,  
If we got together I know it would be hot-hot,  
Say so,  
Stay-o,  
I'll give you something to pray for.  
  
Work it out,  
Work it right,  
Baby's locking low tonight,  
Work it out,  
Keep it tight,  
You're so rock and roll,  
Sold your soul,  
Now baby...  
  
Put the radio on,  
Put the radio on, (Yes, yes)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong.  
  
Put the radio on, (and take a breath)  
Put the radio on, ( come over here)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong for you.  
  
I'm waiting by your backdoor,  
Let me come in,  
I got your favourite dress on,  
Long hair,  
Pinned up.  
  
I like you lots,  
Polka dots,  
Some desire in your thoughts,  
Thinking of you,  
Dreaming of us.  
  
Like you lots,  
Polka dots,  
Some desire in your thoughts,  
Thinking of you,  
Dreaming of us.  
  
Put the radio on,  
  
Put the radio on, (On, on)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong.  
  
Put the radio on, (and take a breath)  
Put the radio on, ( come over here)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong for you.  
  
You know I got a taste for tonic and gin,  
You know I got an eye for fur and fine things,  
You know that I'm to die for,  
Baby, give in,  
I told you when we met what you were in for.  
  
Put the radio on,  
Put the radio on, (Yes, yes)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong.  
  
Put the radio on, (and take a breath)  
Put the radio on, ( come over here)  
I don't wanna know I'm wrong,  
I don't wanna know I'm wrong for you

"
Lana Del Rey,Riverside,"I seen you walk along the riverside  
I seen you walk along at ease  
And in the air I feel a silence  
It whispers perfect on the breeze  
And there's a voice that keeps me company  
It takes me closer to the stream  
And in the break of any suffering  
It makes me feel like there's no pain  
Finally, finally, finally I'm getting closer  
To the dream.  
To my dream I believe  
I'm up a creek and you're my paddle  
Where there is you there is my soul  
Another dream where I'm the witness  
I am the witness to your goal  
Finally, finally, finally I'm getting closer  
To the dream.  
To my dream I believe.

"
Lana Del Rey,Sad Girl,"Every single night when I go down to the west coast  
The people seem dead like I'm dancing with their ghost  
Nothing in this world keeps me more on my feet  
Than your sweet lovin' oooh your lovin'  
  
What happened to days when you were mine  
The way you looked, so God damned fine  
Guess I'll be alone this summertime  
  
'Cause I'm a sad girl dancing on my own  
Long way, far away from home  
Some day I will find you in the sunset  
I'm a sad girl, searching for a dream  
Just know that we're on each other's team  
Some day I will find you, you bet  
But now you've left me,  
Singing this sweet song  
Hold me, never held me for too long  
Love me, your love was porous like a rock  
Maybe you just forgot  
That I loved you

"
Lana Del Rey,Shades Of Cool,"My baby lives in shades of blue  
Blue eyes and jazz and attitude  
He lives in California too  
He drives a chevy Malibu  
  
And when he calls  
He calls for me and not for you  
He lives for love, he loves his drugs  
He loves his baby too  
  
But I can't fix him, can't make him better  
And I can't do nothing about his strange weather  
  
'Cause you are invincible  
I can't break through your world  
'Cause you live in shades of cool  
Your heart is unbreakable  
  
My baby lives in shades of cool  
Blue heart and hands and aptitude  
He lives for love, for women, too  
I'm one of many, one is blue  
  
And when he calls  
He calls for me and not for you  
He prays for love, he prays for peace  
And maybe someone new  
  
But I can't help him, can't make him better  
And I can't do nothing about his strange weather  
  
'Cause you are invincible  
I can't break through your world  
'Cause you live in shades of cool  
Your heart is unbreakable  
  
'Cause you are invincible  
I can't break through your world  
'Cause you live in shades of cool  
Your heart is unbreakable

"
Lana Del Rey,Smarty,"Do I make you feel like Christmas time?  
Put me in a party dress one time  
Love me till I see the sunshine  
Say you'll never leave me  
Say you'll never leave me  
  
Who has the face like smarty does?  
Who has the voice like smarty does?  
Who has the choice like smarty does?  
Nobody, nobody  
Who has the face like smarty does?  
Who has the voice like smarty does?  
Nobody  
Who has the choice like smarty does?  
Nobody, nobody  
  
Say I make you feel like christmas time  
Say I make you feel like christmas time  
Tell me that I feel like christmas time  
Put me in a party dress one time  
Baby, if you love me you'll call me a bunny  
Tell me I'm just a baby, honey  
Meet me and tell me no one will love me  
Better than you do  
Better than you do  
  
Dance me all around the room  
Dance me around the room  
Keep out the stars, turn out the lights  
This little world is yours tonight  
Dance me all around the room  
Say you'll never leave me  
  
Who has the face like smarty does?  
Who has the voice like smarty does?  
  
Who has the choice like smarty does?  
Nobody, nobody  
Who has the face like smarty does?  
Who has the voice like smarty does?  
Nobody  
Who has the choice like smarty does?  
Nobody, nobody  
  
Say I make you feel like  
Like you did, like you did when you were thirteen  
Say I make you feel like  
When you were the dirty heavy metal king  
Say I make you feel alright, alright, alright  
  
Kissing me till I see the sunshine  
Kissing me till I see the sunshine  
Keep out the stars, turn out the lights  
This little world is yours tonight  
Is yours tonight  
This little world is yours tonight  
Say you'll never leave me  
Say you'll never leave me  
  
Who has the face like smarty does?  
Who has the voice like smarty does?  
Who has the choice like smarty does?  
Nobody, nobody  
Who has the face like smarty does?  
Who has the voice like smarty does?  
Nobody  
Who has the choice like smarty does?  
Nobody, nobody  
Nobody, nobody  
Nobody, nobody

"
Lana Del Rey,So Legit,"You were the freak king of the piercing shop  
All the girls thought that they could sing  
But they're really not  
Shit I don't get it  
You're looking like a man, you're talking like a baby  
How the fuck is your song  
In a coke commercial crazy  
I don't get it  
Your taste once exquisite  
  
What happened to Brooklyn?  
What happened to New York?  
What happened to my scene?  
What happened to punk rock?  
  
You called me the queen  
Of the downtown scene babe  
How the fuck would you go  
Switch it up and then replace me?  
I don't get it  
I'm so legit  
  
Tell me was it cause I wasn't  
Platinum in jewels  
That perhaps you thought  
I was a little bit even uncool  
Kid was that it?  
Stefani you suck  
I know you're selling 20 million  
Wish they could've seen you  
When we booed you off in Williamsburg  
You're hurt  
I know my words don't hurt yeah  
Oh girl I see you walking round  
In your pearls  
Thinking that you're number  
You're so funny  
Coz honey you're not  
  
What happened to Brooklyn  
The last frontier  
They said you can make it anywhere  
If you can make it here  
But where no magic in the air  
  
What happened to Brooklyn?  
What happened to our scene baby?  
Have we all gone Gaga crazy?  
Remember when the streets used  
To be dangerous and we were born bad  
And we were born bad?  
  
Punk rock punk rock  
The boys used to punch each other in the face  
And girls were walking round wasted  
Everyone had a good night  
Came back when sunlight  
Punk rock, rock, rock

"
Lana Del Rey,Starry Eyed,"Oh, boy you're starry eyed  
Lay back, baby lay back  
You've got heaven in your eyes  
I like that, boy I like that  
  
Life doesn't always work out  
Like you planned it  
They say make lemonade out of lemons  
But I try and I just can't understand it  
All this trying for no good reason  
Man makes plans and God laughs  
Why do I even bother to ask?  
Well, once you and I, we were the king and queen of this town  
It doesn't matter now  
The sun set on our love, bye baby  
Oh, boy you're starry eyed  
Lay back, baby lay back  
You've got heaven in your eyes  
I like that, boy I like that  
Life doesn't always work out  
Like you planned it  
They say make lemonade out of lemons  
But I try and I can't understand it  
All this bragging for not good reason  
Man makes plans and God laughs  
Why do I even bother to ask?  
Well, once you and I, we were the king and queen of this town  
It doesn't matter now  
The sun set on our love, bye, bye baby  
Oh, boy you're starry eyed  
Lay back, baby lay back  
You've got heaven in your eyes  
I like that, boy I like that  
It doesn't matter what they say  
Let's go do it anyway  
'Cause you and I have an undying kind of love  
You can be mine, I'll be yours, be my baby  
Oh, boy you're starry eyed  
Lay back, baby lay back  
You've got heaven in your eyes  
I like that, boy I like that  
Oh, boy you're starry eyed  
Lay back, baby lay back  
You've got heaven in your eyes  
I like that, boy I like that

"
Lana Del Rey,Summer Of Sam,"Like the summer of Sam, back in '69  
I'd be heavily battling on the grind  
Cause to sing this nice, it would be a crime  
Of the lettering, I'm murdering 'em  
  
Like the summer of love back in '69  
You can say that I'm rose, that my body is divine  
I belong to everybody that I walk by  
Like hi, hi  
  
I'm the master of my destiny  
You haven't seen the best of me  
And if you want the rest of me  
You'll have to pay a lovely fee  
Hault, to stay far, far away from me  
Cause I am the baddest girl in nyc  
You can look but please don't touch boy  
Stay away from me  
  
Baby I'm a cinnamon girl  
Keeping it fresh, on the e-est side  
Baby I'm a vitamin girl  
Keepin' in touch your cherry pie  
B-A-D-D-E-S-T, baddest girl in nyc  
Baby I'a a dangerous girl,  
You should stay away from me  
  
I've been murdering, I'm murdering on  
I be murdering, I'm murdering on  
  
Like the summer of Sam, back in '69  
I've been tyeing them up, and hang 'em out to dry  
Cause I'm hot like that when I walk to dry  
I be murdering, I'm murdering them  
  
Like the summer of love back in '69  
When I get on the microphone my, my  
Baby looking at you shudder like ay, ay, ay  
Like bye, bye  
Please excuse my mo-vivacity, capacity for hating  
Cause it's incredible  
It's better if you stay away from me,  
I know it's hard, hard to stay far, far away from me  
I am the baddest girl in nyc  
You can look but please don't touch boy  
But boy stew away from me  
  
Baby I'm a cinnamon girl  
Keeping it fresh, on the e-est side  
Baby I'm a vitamin girl  
Keepin' in touch your cherry pie  
B-A-D-D-E-S-T, baddest girl in nyc  
Baby I'a a dangerous girl,  
Baby should stay away from me  
  
I've been murdering, I'm murdering on  
I'm half away  
Murdering, I'm murdering 'em ah, ah  
Murdering, I'm murdering 'em  
  
...  
Now everyone knows I'm a good girl  
I'll give you a fist fight  
And you'll be in a fight  
Kissable, invincible behavior is despicable  
If you're looking for fun you can come out with me tonight  
I am the baddest girl in nyc  
I am the baddest, liking what you see?  
  
Baby I'm a cinnamon girl  
Keeping it fresh, on the e-est side  
Baby I'm a vitamin girl  
Keepin' in touch your cherry pie  
B-A-D-D-E-S-T, baddest girl in nyc  
Baby I'a a dangerous girl,  
Baby should stay away from me

"
Lana Del Rey,Summertime Sadness,"Kiss me hard before you go  
Summertime sadness  
I just wanted you to know  
That baby you're the best  
  
I got my red dress on tonight  
Dancing in the dark in the pale moonlight  
Got my hair up real big beauty queen style  
High heels off, I'm feeling alive  
  
Oh, my God, I feel it in the air  
Telephone wires above all sizzlin' like your stare  
Honey I'm on fire I feel it everywhere  
Nothing scares me anymore  
  
Kiss me hard before you go  
Summertime sadness  
I just wanted you to know  
That baby you're the best  
  
I've got that summertime, summertime sadness  
Summertime, summertime sadness  
Got that summertime, summertime sadness  
Oh, oh  
  
I'm feelin' electric tonight  
Cruising down the coast goin' by 99  
Got my bad baby by my heavenly side  
Oh if I go, I'll die happy tonight  
  
Oh, my God, I feel it in the air  
Telephone wires above all sizzlin' like your stare  
Honey I'm on fire I feel it everywhere  
Nothing scares me anymore  
  
Kiss me hard before you go  
Summertime sadness  
I just wanted you to know  
That baby you're the best  
  
I've got that summertime, summertime sadness  
Summertime, summertime sadness  
Got that summertime, summertime sadness  
Oh, oh  
  
I think I'll miss you forever  
Like the stars miss the sun in the morning skies  
Late is better than never  
Even if you're gone I'm gonna drive, drive  
  
I've got that summertime, summertime sadness  
Summertime, summertime sadness  
Got that summertime, summertime sadness  
Oh, oh  
  
Kiss me hard before you go  
Summertime sadness  
I just wanted you to know  
That baby you're the best  
  
I've got that summertime, summertime sadness  
Summertime, summertime sadness  
Got that summertime, summertime sadness  
Oh, oh

"
